"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"TTL","T T Limited","EQ","Rights 4:27 @ Premium Rs 11/-","1","04-Jul-2025","04-Jul-2025","-","-"
"EXICOM","Exicom Tele-Systems Limited","EQ","Rights 3:20 @ Premium Rs 133/-","10","07-Jul-2025","07-Jul-2025","-","-"
"KILITCH","Kilitch Drugs (India) Limited","EQ","Rights 2:23 @ Premium Rs 347/-","10","15-Jul-2025","15-Jul-2025","-","-"
"VALIANTLAB","Valiant Laboratories Limited","EQ","Rights 1:4 @ Premium Rs 65/-","10","18-Jul-2025","19-Jul-2025","-","-"
"MAHLOG","Mahindra Logistics Limited","EQ","Rights 3:8 @ Premium Rs 267/-","10","23-Jul-2025","23-Jul-2025","-","-"
"SPANDANA","Spandana Sphoorty Financial Limited","EQ","Rights 10:41 @ Premium Rs 220/-","10","24-Jul-2025","24-Jul-2025","-","-"
"JTEKTINDIA","Jtekt India Limited","EQ","Rights 1:11 @ Premium Rs 107.10/-","1","25-Jul-2025","25-Jul-2025","-","-"
"INOXWIND","Inox Wind Limited","EQ","Rights 5:78 @ Premium Rs 110/-","10","29-Jul-2025","29-Jul-2025","-","-"
"CYBERMEDIA","Cyber Media (India) Limited","EQ","Rights 2:5 @ Premium Rs 5.80/-","10","01-Aug-2025","01-Aug-2025","-","-"
"DAVANGERE","Davangere Sugar Company Limited","EQ","Rights 13:25 @ Premium Rs 2.05/-","1","06-Aug-2025","06-Aug-2025","-","-"
"LLOYDSENT","Lloyds Enterprises Limited","EQ","Rights 1:5 @ Premium Rs 38/-","1","14-Aug-2025","14-Aug-2025","-","-"
"SARVESHWAR","Sarveshwar Foods Limited","EQ","Rights 12:47 @ Premium Rs 5/-","1","22-Aug-2025","22-Aug-2025","-","-"
"NDTV","New Delhi Television Limited","EQ","Rights 3:4 @ Premium Rs 78/-","4","12-Sep-2025","12-Sep-2025","-","-"
"SHRADHA","Shradha Realty Limited","EQ","Rights 3:5 @ Premium Rs 38/-","2","16-Sep-2025","16-Sep-2025","-","-"
"3IINFOLTD","3i Infotech Limited","EQ","Rights 2:9 @ Premium Rs 7/-","10","26-Sep-2025","26-Sep-2025","-","-"
"CAPTRUST","Capital Trust Limited","EQ","Rights 1:1 @ Premium Rs 4/-","10","10-Oct-2025","10-Oct-2025","-","-"
"UTKARSHBNK","Utkarsh Small Finance Bank Limited","EQ","Rights 8:13 @ Premium Rs 4/-","10","14-Oct-2025","14-Oct-2025","-","-"
"DELPHIFX","DELPHI WORLD MONEY LIMITED","EQ","Rights 23:49 @ Premium Rs 181/-","2","14-Oct-2025","14-Oct-2025","-","-"
"ATL","Allcargo Terminals Limited","EQ","Rights 3:19 @ Premium Rs 18/-","2","14-Nov-2025","14-Nov-2025","-","-"
"BAIDFIN","Baid Finserv Limited","EQ","Rights 1:4 @ Premium Rs 8/-","2","17-Nov-2025","17-Nov-2025","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Rights 3:25 @ Premium Rs 1799/-","1","17-Nov-2025","17-Nov-2025","-","-"
"INDOWIND","Indowind Energy Limited","EQ","Rights 1:4 @ Premium Rs 5.35/-","10","19-Nov-2025","19-Nov-2025","-","-"
"PATELENG","Patel Engineering Limited","EQ","Rights 7:40 @ Premium Rs 26/-","1","04-Dec-2025","04-Dec-2025","-","-"
"HCC","Hindustan Construction Company Limited","EQ","Rights 277:630 @ Premium Rs 11.50/-","1","05-Dec-2025","05-Dec-2025","-","-"
